#{"t_start": 1682099368.929204, "env_id": null}
r,l,t
-127.577031,115,1.534308
-47.2617,72,1.633718
-60.590864,11,1.648244
-140.873136,84,1.762606
-78.643456,142,1.950881
-111.121933,37,2.003242
-97.809219,120,2.186266
-105.118879,45,2.248314
-60.147374,13,2.264433
-107.326627,39,2.322244
-108.704428,30,2.366618
-65.017496,42,2.43037
-114.561674,40,2.490302
-43.105414,38,2.546109
-61.613596,25,2.580356
-99.877896,97,2.711276
-116.038185,60,2.807251
-136.193458,96,2.943666
-107.870365,40,2.99815
-150.929037,69,3.088356
-105.543969,30,3.127727
-104.471219,52,3.197542
-89.009897,99,3.333523
-108.726267,25,3.368374
-112.763187,46,3.43076
-102.595579,26,3.4661
-107.68887,56,3.540601
-99.995769,10,3.55492
-107.382659,23,3.588512
-100.579744,33,3.632539
-110.974887,121,3.800054
-110.563697,34,3.848548
-35.372592,111,4.009147
7.412666,151,4.219998
-82.878264,27,4.25616
-91.883504,88,4.376793
-100.704193,18,4.399665
-103.048629,11,4.417207
-121.693345,128,4.583865
-106.088532,46,4.646296
62.3361,151,4.84817
-90.198338,63,4.928857
-19.389689,151,5.14336
-6.589413,151,5.350539
13.334335,151,5.568005
-64.205906,26,5.606685
-100.089434,143,5.802015
-106.036704,106,5.941568
4.864264,151,6.161109
-109.951782,38,6.214416
-97.46665,51,6.284069
-46.234657,151,6.500137
-55.059742,151,6.721012
-92.08666,74,6.828428
-105.333404,29,6.868694
-101.994011,15,6.889325
-104.793907,52,6.968868
-13.671562,151,7.174496
-94.730338,149,7.388624
-105.46205,39,7.443408
-43.974889,27,7.479092
-119.265408,100,7.613066
-131.77073,111,7.770696
-109.854054,70,7.864886
-36.5302,151,8.08628
-51.864329,151,8.296027
-113.655808,57,8.385736
-111.964878,51,8.462515
-58.166203,32,8.505626
-21.87887,151,8.71004
-87.699852,120,8.871349
-103.527489,13,8.892087
-116.096886,48,8.962094
-115.58261,65,9.057929
-44.026918,151,9.267343
-95.568984,81,9.375787
-101.123141,26,9.410658
-6.892074,151,9.60902
-52.897484,151,9.823673
-13.853367,151,10.023532
15.823864,151,10.226284
15.621678,151,10.426429
-50.762715,151,10.666417
-29.363276,151,10.883041
-6.552182,151,11.095018
-102.924705,11,11.110447
-141.091501,140,11.314888
-104.405153,16,11.337143
-109.821738,41,11.400361
-43.657764,151,11.618012
-100.888624,21,11.64684
-37.273249,151,11.83481
-99.783599,31,11.882746
-95.037203,48,11.954512
-29.416872,151,12.171735
-102.142758,16,12.194213
-108.829404,96,12.342482
-93.06358,124,12.547695
8.287005,151,12.769972
-102.934233,69,12.866064
-99.70922,81,13.011355
-123.992055,83,13.128396
15.91297,151,13.359309
-98.355419,30,13.40067
-99.595161,68,13.514279
-93.065031,68,13.62284
-37.596986,151,13.820835
-103.879831,92,13.966467
-98.278416,32,14.009231
-123.813056,97,14.159397
-29.967452,151,14.3596
-52.361652,151,14.561126
325.241415,151,14.765705
-113.742064,143,14.978314
-29.229176,151,15.182734
-102.440316,11,15.196891
-99.654545,64,15.294023
-30.855842,151,15.510786
-108.826647,46,15.585026
-109.267437,99,15.73108
-105.44977,29,15.776909
-29.226354,151,16.015417
-97.386894,47,16.085641
-114.153649,59,16.164247
-13.97073,151,16.386522
-119.529631,104,16.531236
15.76753,151,16.746506
-114.741114,62,16.833157
-104.708291,101,16.977632
-110.003633,35,17.039305
-109.839097,52,17.114687
-112.454318,89,17.245569
16.437828,151,17.468189
8.892605,151,17.673765
-122.360341,114,17.836771
-14.335013,151,18.034556
-104.421823,16,18.055647
-105.027843,55,18.128438
-108.403931,94,18.254831
-121.512819,111,18.411595
8.319816,151,18.634327
-99.311031,113,18.799981
-6.524232,151,19.017069
7.427308,151,19.219968
-92.046138,146,19.420625
-29.551382,151,19.640355
-96.13681,37,19.692244
-89.846298,96,19.829174
-112.659015,67,19.930874
-105.272159,19,19.956513
-29.692188,151,20.16091
-85.170246,136,20.355672
-94.948022,92,20.483635
-52.139768,151,20.697036
-105.557741,24,20.731137
-114.595881,60,20.815427
1.421183,151,21.042391
-21.773519,151,21.283391
-104.032658,29,21.325382
-99.678437,54,21.408679
325.16671,151,21.642908
-123.952409,71,21.752626
-51.545384,151,21.973685
-99.168502,102,22.119262
-109.662527,41,22.180927
-103.779649,89,22.321728
-103.780158,12,22.342167
-102.801764,31,22.386925
-99.689306,67,22.482301
-44.782862,151,22.708712
-21.639449,151,22.920708
15.344583,151,23.123211
-121.354673,146,23.313571
-21.236161,151,23.514658
9.07888,151,23.71636
-96.982277,55,23.792398
-93.221615,65,23.881783
-21.380997,151,24.089152
-6.526517,151,24.294728
-44.205084,151,24.491099
-102.159735,50,24.556126
-99.710063,43,24.614394
-105.846682,42,24.669672
-96.428246,64,24.755348
-93.728446,105,24.89991
-105.233005,28,24.93596
-92.170085,140,25.120186
16.149477,151,25.320313
15.545815,151,25.526888
8.95643,151,25.729643
-21.326344,151,25.928639
-96.072101,38,25.978916
-93.098057,112,26.125682
1.08665,151,26.321694
-104.445179,105,26.457876
-22.310123,151,26.655197
324.748709,151,26.857897
-92.929065,127,27.022804
15.816805,151,27.217116
-101.051237,24,27.249324
-98.333648,30,27.288206
-14.07397,151,27.483114
-37.370269,151,27.680441
-108.11542,43,27.734512
-29.223571,151,27.927717
-118.48486,64,28.012117
0.381318,151,28.215363
-21.128572,151,28.412226
-51.489775,151,28.606474
-104.432369,101,28.737432
-104.821062,53,28.80675
113.306721,100,28.93874
-114.869278,62,29.021332
-106.889737,21,29.048391
-102.002444,44,29.10784
-21.09148,151,29.302467
-14.276418,151,29.500426
8.745248,151,29.69821
-114.708553,51,29.762808
-52.237763,151,29.957452
48.653052,70,30.048618
-97.255107,48,30.112089
-112.549377,52,30.17873
-6.713277,151,30.374647
-36.547998,151,30.570566
-51.756156,151,30.777447
-96.494821,58,30.851484
-84.789596,138,31.033202
1.094762,151,31.229826
-6.576745,151,31.425602
-94.057606,106,31.562356
16.626169,151,31.759998
8.120137,151,31.95472
-110.803284,76,32.061388
-6.618774,151,32.254933
-104.066384,45,32.313464
-109.314048,49,32.377327
-15.937383,40,32.430072
325.383841,151,32.624641
-14.677273,151,32.8184
93.963165,91,32.938336
-51.824541,151,33.134243
-36.469071,151,33.336086
-105.179251,114,33.484658
74.447544,82,33.588495
-117.9555,62,33.670988
-29.231766,151,33.86548
-37.086879,151,34.061089
-110.490982,114,34.214355
-13.857535,151,34.412554
-14.082929,151,34.618895
0.717583,151,34.816607
-36.304824,151,35.016377
-44.725203,151,35.210595
-21.850116,151,35.40587
-14.811687,151,35.619634
-18.939956,151,35.828157
0.240907,151,36.042787
-13.786618,151,36.239004
-95.344487,46,36.307008
-5.983899,151,36.504905
-29.272952,151,36.704876
8.725446,151,36.910899
-106.173876,22,36.939872
-95.16704,90,37.059333
-86.964166,122,37.218086
-52.277691,151,37.441164
-102.246143,48,37.508791
-119.66931,102,37.643013
8.599607,151,37.838175
-14.044865,151,38.034096
-120.563677,105,38.17089
-29.746487,151,38.365707
-110.660711,77,38.467716
-111.788687,62,38.547645
-14.491409,151,38.745329
-120.50014,143,38.931936
-132.414552,95,39.056683
-14.452841,151,39.252265
-88.79854,104,39.388105
-103.05999,33,39.42957
-29.5055,151,39.629272
-102.722056,31,39.669797
-108.459661,59,39.748174
-6.55616,151,39.945989
8.308685,151,40.141626
-97.967788,37,40.189018
-110.496214,44,40.250303
16.005825,151,40.483382
-6.269699,151,40.703718
-103.206836,77,40.81264
-22.300246,151,41.023534
-106.583814,47,41.087251
-37.258337,151,41.283807
9.021303,151,41.48722
-107.42977,52,41.558163
-36.813866,151,41.765083
-93.215233,125,41.927365
-89.039485,104,42.061877
-132.92278,96,42.188782
-103.823084,42,42.242
-97.065088,55,42.313625
-94.988473,48,42.377319
-28.817997,151,42.573135
-98.2385,34,42.61818
-102.515703,60,42.698634
-103.032716,66,42.793182
-37.112166,151,42.992383
-117.012699,121,43.149478
-14.077643,151,43.344264
-14.089703,151,43.544451
-21.670888,151,43.739754
-105.271759,38,43.7882
1.350189,151,43.988604
-104.2033,109,44.127809
-108.556436,30,44.167323
-13.350887,151,44.363899
-95.149327,87,44.476612
-104.398408,32,44.517522
325.356207,151,44.717382
-6.999424,151,44.912271
-130.070386,125,45.076181
-52.293241,151,45.319808
-6.363137,151,45.520854
-51.457777,151,45.710252
-52.13591,151,45.904259
-106.124141,64,45.982892
0.580279,151,46.178294
-95.728757,41,46.228798
-102.141426,16,46.248621
16.200787,151,46.437133
0.985181,151,46.628954
-28.89739,151,46.818873
-113.527596,47,46.876134
-96.365153,64,46.958054
15.728679,151,47.148854
-99.909913,16,47.168329
-122.105256,117,47.316158
-115.271353,53,47.380395
-99.574603,76,47.474442
-22.432628,151,47.665898
-44.635015,151,47.856044
-6.554989,151,48.067429
8.539835,151,48.297451
-51.792047,151,48.504778
-104.910583,115,48.659653
132.560986,109,48.806395
-115.291042,107,48.948651
-111.630683,48,49.009715
-106.487986,23,49.041673
-98.989815,138,49.222409
-104.99453,18,49.247203
-92.372261,144,49.436156
-91.962958,140,49.619499
48.644552,70,49.717521
8.807408,151,49.918758
-37.021971,151,50.121504
-13.978619,151,50.339083
0.757686,151,50.543056
-103.021779,71,50.648725
-44.031585,151,50.852164
-52.106526,151,51.050282
-101.611872,38,51.1012
325.317584,151,51.300355
-105.379324,59,51.37872
-104.407178,16,51.399494
-99.296897,91,51.518521
-6.727526,151,51.7159
-95.440949,43,51.773982
-28.378038,151,51.975614
-104.714097,17,51.999859
68.109252,79,52.099927
-29.582447,151,52.298323
-92.96308,125,52.461922
-93.285749,63,52.543244
1.417288,151,52.739221
-115.455247,65,52.823876
-107.142865,30,52.862808
-99.836931,25,52.89624
8.796233,151,53.098408
-101.60209,18,53.120606
-21.584684,151,53.319286
-106.588624,28,53.35786
-120.7147,141,53.542794
8.82499,151,53.744013
-7.374671,151,53.944432
-118.150186,129,54.111741
-36.871403,151,54.320583
8.918531,151,54.53063
0.413767,151,54.744347
-123.223627,120,54.920864
-6.617445,151,55.162133
-101.141899,13,55.184028
-108.228209,29,55.233338
-103.666388,40,55.297147
-103.19365,23,55.33195
-14.102144,151,55.531775
-88.463503,111,55.699855
-99.759671,49,55.768213
-103.346625,78,55.874335
-6.468012,151,56.092871
185.979957,134,56.273131
-36.589045,151,56.480311
-99.418203,77,56.59563
-29.410622,151,56.797142
0.058154,151,56.995724
-104.582375,48,57.060184
-37.120297,151,57.256057
141.356403,113,57.407379
-105.148516,116,57.561369
-22.255229,151,57.758392
-107.680706,55,57.829665
-111.493478,40,57.88198
-21.785489,151,58.078342
-90.484922,89,58.196249
-97.881045,21,58.222993
-99.062968,122,58.379613
-120.549908,109,58.522742
-117.537419,94,58.646724
-6.211526,151,58.849976
-101.331051,31,58.889549
-115.557949,81,58.997997
-114.228828,98,59.124256
324.783069,151,59.322453
-110.481287,37,59.374073
-51.528817,151,59.570019
-98.060951,36,59.616819
-103.517365,13,59.636587
-109.565715,29,59.675849
-99.49681,94,59.80431
-109.093402,38,59.855488
0.292061,151,60.058868
-13.629006,151,60.262715
-29.442227,151,60.475954
-99.481659,54,60.546797
0.900592,151,60.755137
-6.372266,151,60.953978
-87.366229,118,61.107846
-104.701545,17,61.132469
-113.142395,46,61.197277
-94.21348,56,61.274178
1.20925,151,61.477667
-109.093113,47,61.541318
-99.888386,25,61.574342
15.893086,151,61.775187
1.514352,151,61.975417
15.843837,151,62.179402
-44.025299,151,62.397397
0.880889,151,62.607048
-36.302934,151,62.80599
-7.105054,151,63.010739
-28.636874,151,63.232059
-22.169994,151,63.453632
-99.673772,49,63.517569
-14.897941,151,63.722255
-14.553005,151,63.943317
-6.271407,151,64.198881
-91.792551,77,64.29848
-112.332926,126,64.471193
7.917841,151,64.706224
-87.574157,119,64.86394
-102.347039,13,64.880689
-107.148482,38,64.935131
-84.656838,148,65.138562
-7.437693,151,65.346085
-99.66637,72,65.446624
-97.700399,23,65.481131
-22.374086,151,65.683282
-28.915116,151,65.882731
-128.609322,97,66.011265
8.854331,151,66.210383
8.466983,151,66.408594
-51.982348,151,66.606427
-112.385454,52,66.673127
-112.351806,127,66.839526
-106.524136,46,66.904176
-35.261334,151,67.101148
-93.97824,104,67.251211
7.791137,151,67.457179
324.928046,151,67.657631
-103.53104,78,67.77025
-104.122892,13,67.793035
-29.348639,151,67.999709
-103.483036,19,68.029175
-45.083361,151,68.240568
-22.146683,151,68.459782
-108.797884,93,68.584127
-36.808864,151,68.779988
-36.869499,151,68.976115
8.589831,151,69.174578
-125.270822,106,69.312654
-99.308639,112,69.459984
-13.896941,151,69.660694
-44.099386,151,69.858059
-104.932961,35,69.903711
29.202603,61,69.982008
-37.331037,151,70.196923
-114.682489,62,70.277041
-108.65295,46,70.337035
-21.475481,151,70.533494
-6.585539,151,70.737488
-14.07552,151,70.940975
-99.633156,73,71.039348
-7.125802,151,71.256468
325.223321,151,71.453518
-21.76484,151,71.653805
-52.596033,151,71.856228
-44.57099,151,72.083925
-122.282227,92,72.212929
-105.30336,38,72.263017
-29.49495,151,72.46618
15.936946,151,72.674184
-90.377201,89,72.831746
-106.293757,27,72.866082
-28.56488,151,73.095006
-102.283523,54,73.183598
16.216317,151,73.399405
8.120288,151,73.602901
1.125357,151,73.8104
-107.97984,28,73.846216
-99.560428,107,73.99041
-92.683674,141,74.174655
-110.3821,73,74.268703
-6.959829,151,74.471469
-104.257126,23,74.500138
-107.183907,78,74.602947
-107.644922,27,74.6382
-3.008007,46,74.696506
-106.357796,45,74.755192
-44.061184,151,74.949874
16.110638,151,75.15312
-103.691029,40,75.20857
-133.586425,141,75.400805
-36.163725,151,75.597828
-51.514344,151,75.818129
-108.245656,35,75.869229
-45.144829,151,76.07301
325.200965,151,76.274441
-85.667822,137,76.483535
-99.437629,65,76.580034
-51.48138,151,76.781413
-106.761324,73,76.873955
-108.339371,44,76.930212
-105.514804,40,76.981297
8.366002,151,77.180951
7.986077,151,77.387628
-99.723113,87,77.513639
-98.603673,26,77.551743
8.813074,151,77.763828
8.014564,151,77.962166
-21.259297,151,78.178034
9.312772,151,78.404091
-6.393094,151,78.634276
-103.456306,38,78.693474
-99.677972,58,78.779654
-104.832422,52,78.852085
-13.459484,151,79.063765
-104.273569,102,79.200585
8.026652,151,79.417379
-103.405306,81,79.548389
-13.912126,151,79.781353
-21.723931,151,79.982688
-88.193581,112,80.126561
7.348848,151,80.33483
-106.763541,36,80.384825
-51.801343,151,80.58199
-93.658356,109,80.74716
7.966777,151,80.966582
16.856919,151,81.184492
-95.491921,76,81.282932
8.96002,151,81.485029
-99.517519,82,81.604837
-104.898453,53,81.67824
0.964917,151,81.881001
-51.904144,151,82.086024
-97.000846,54,82.159276
-29.175066,151,82.373319
-98.420644,29,82.416193
-100.947936,23,82.447761
-7.025997,151,82.652572
-117.924431,62,82.744956
-13.845465,151,82.957622
0.361049,151,83.173282
15.694438,151,83.39075
40.065421,66,83.497958
-21.631914,151,83.7427
-104.378727,19,83.770872
7.976548,151,83.992128
-98.590734,26,84.026059
-103.190781,70,84.130911
-91.754168,136,84.327376
-106.202333,66,84.409944
-6.877546,151,84.603628
-37.131778,151,84.815428
-99.694798,47,84.878581
1.709585,151,85.104284
-87.318821,123,85.292556
-101.779825,20,85.323752
-14.432901,151,85.53679
-52.266704,151,85.746964
-29.030759,151,85.966055
-30.028142,151,86.174578
-21.88584,151,86.422209
-51.656641,151,86.644022
-22.087519,151,86.879337
-97.351644,26,86.918824
-99.813757,26,86.962618
16.204671,151,87.15973
-107.274107,81,87.274889
-6.118883,151,87.488645
-102.721014,20,87.514329
-37.299802,151,87.711306
-36.540222,151,87.92
-105.915282,138,88.111628
1.270012,151,88.312913
-98.192021,18,88.335232
-22.152424,151,88.547452
-102.132926,12,88.567205
-104.318499,48,88.632577
-107.985021,42,88.693087
-37.719358,151,88.90925
-110.878351,117,89.078129
-88.976101,106,89.234254
-109.996435,71,89.33469
15.908932,151,89.551273
-107.611019,40,89.635967
-97.540878,46,89.698742
8.138109,151,89.887149
-44.848715,151,90.081755
-44.659287,151,90.269157
7.721317,151,90.456637
-98.98536,113,90.602938
-36.880227,151,90.79127
-103.909057,28,90.824535
-108.543178,36,90.872822
-109.520368,105,91.009719
1.503689,151,91.208438
-103.676208,16,91.228982
-86.351818,136,91.40406
325.239135,151,91.593707
-37.346849,151,91.801362
-44.092976,151,92.003464
-13.952036,151,92.194548
-5.892903,151,92.4084
16.033741,151,92.622129
-94.715571,97,92.761239
-29.81683,151,92.968219
-86.99916,123,93.138489
-117.881935,74,93.242445
-106.903915,48,93.312362
-29.900257,151,93.514721
-103.73849,89,93.630307
15.273772,151,93.828346
-102.488203,57,93.905914
-104.984231,18,93.92777
8.812697,151,94.121834
15.964768,151,94.317778
-109.263955,39,94.365826
-110.770352,38,94.415829
-96.602003,62,94.495219
-118.382485,63,94.580484
-127.365467,95,94.705475
-30.082735,151,94.900392
0.422423,151,95.094777
-13.678252,151,95.292255
-101.729468,13,95.307697
-122.108106,151,95.50137
15.855882,151,95.699327
325.145966,151,95.896471
-14.144604,151,96.090896
-36.618778,151,96.287346
16.599221,151,96.493206
205.46336,143,96.689323
-106.184731,44,96.747052
-36.487662,151,96.943012
-52.451212,151,97.138557
-105.911125,142,97.326475
-94.279413,104,97.459042
-89.903789,96,97.585189
-20.68243,151,97.779988
-51.989537,151,97.976325
-106.197276,33,98.021063
-21.50621,151,98.216041
-113.34273,56,98.288233
-94.258596,103,98.422865
-44.197395,151,98.620223
8.838576,151,98.814105
-21.660686,151,99.026522
-106.032833,138,99.224652
-22.175922,151,99.439754
8.357501,151,99.655455
-103.610227,26,99.705845
-52.996992,151,99.927166
-93.110614,132,100.102116
-113.115371,91,100.220675
-21.856643,151,100.426665
-110.117575,43,100.498389
-104.092405,15,100.523497
-51.893976,151,100.744972
-13.709615,151,100.951984
16.290302,151,101.152096
-92.787875,68,101.243382
15.643496,151,101.440339
-52.078617,151,101.6386
-99.468404,127,101.80646
325.250087,151,102.012005
-110.019439,35,102.058314
-99.872568,29,102.0975
-120.502918,84,102.20946
-105.082992,56,102.282575
16.162476,151,102.482656
-106.588237,35,102.532163
-103.555833,83,102.664955
-99.227367,120,102.821315
0.96649,151,103.035411
-44.86973,151,103.254606
-126.142636,108,103.400411
1.442739,151,103.634497
-119.822749,83,103.754806
-92.838962,69,103.851834
-36.21034,151,104.070604
-99.673137,57,104.148582
-44.268011,151,104.350456
-116.144482,56,104.427827
-103.814272,14,104.449611
-99.70133,41,104.511953
15.656901,151,104.738623
-29.196614,151,104.951414
-119.981574,69,105.046223
-52.105358,151,105.24428
-36.965949,151,105.447295
-106.883563,21,105.476129
-98.06166,35,105.541258
324.895762,151,105.771598
1.440637,151,105.999348
-51.590689,151,106.221166
-113.402573,70,106.327278
-6.053437,151,106.528982
-109.801828,69,106.632045
9.193637,151,106.865641
-98.749876,23,106.905366
-110.551357,55,106.985205
325.167516,151,107.208735
-29.73889,151,107.435091
-99.802245,40,107.48759
-108.630616,61,107.567594
-90.611971,88,107.684432
-107.78848,33,107.726419
-96.336726,65,107.819399
-110.882055,77,107.941019
-36.638984,151,108.170267
-7.077171,151,108.41998
-6.298766,151,108.627009
-22.561302,151,108.865087
-20.70624,151,109.075199
-128.972896,120,109.239344
-97.891577,21,109.267623
-104.293032,46,109.329332
-108.520356,30,109.371537
-21.794276,151,109.568812
-99.805329,39,109.621266
-6.811708,151,109.833259
-22.049813,151,110.056154
-109.678233,68,110.143347
-105.51018,17,110.172891
106.89596,97,110.319085
-95.091694,87,110.436348
-51.764705,151,110.668369
-116.057465,56,110.745301
-28.862245,151,110.949219
-95.310221,45,111.012131
15.935022,151,111.222529
-109.101015,32,111.264789
-29.545099,151,111.458322
-44.229771,151,111.64926
16.776061,151,111.840173
-99.296657,135,112.01056
-109.919833,42,112.065386
-94.348583,54,112.130564
-118.777047,98,112.254914
-128.445085,117,112.402298
-21.92224,151,112.597239
325.240641,151,112.798908
-21.981565,151,112.997903
-44.548908,151,113.206908
-118.497825,75,113.307198
0.869026,151,113.509399
-106.856801,29,113.547626
-51.365728,151,113.74387
-6.443062,151,113.953845
-95.35679,45,114.01317
223.122932,151,114.224091
-52.004984,151,114.423748
-95.282702,83,114.544994
-99.039419,128,114.732113
61.472792,76,114.84355
-44.604869,151,115.057706
-108.2232,29,115.095051
-99.119753,117,115.276763
1.041205,151,115.503743
-29.134238,151,115.722191
-111.772017,41,115.780698
-130.626053,127,115.959918
-52.081153,151,116.187228
-28.930027,151,116.405208
-105.964456,42,116.465781
-43.401347,151,116.676127
0.65726,151,116.884535
-103.253919,73,116.993692
-95.84664,73,117.129435
0.702383,151,117.332454
-44.4536,151,117.542631
-52.296916,151,117.762818
-121.459946,74,117.870096
-105.995107,32,117.915829
-7.014381,151,118.170606
-99.372526,120,118.373568
85.127729,87,118.499628
-111.466626,40,118.560481
325.258339,151,118.770395
-110.947199,46,118.830646
-93.616037,115,118.988505
-6.484807,151,119.193982
-43.532208,151,119.395041
-110.126295,71,119.490733
1.181041,151,119.703458
-37.574414,151,119.921339
-98.911744,100,120.076878
160.66193,122,120.258604
-52.51499,151,120.469229
-21.893186,151,120.680772
-52.213386,151,120.89504
-99.436402,64,120.987557
-104.736828,50,121.065264
-5.970805,151,121.289005
-0.136622,151,121.508
-100.978115,24,121.55142
-14.039592,151,121.764434
-102.378338,59,121.85165
-99.398065,83,121.973865
-93.729498,121,122.130605
-28.725785,151,122.326128
158.618435,121,122.487475
-14.138186,151,122.68317
-6.380921,151,122.879994
0.54899,151,123.095402
325.120554,151,123.301526
-97.644959,23,123.332656
-106.855631,74,123.430251
-93.693204,58,123.515251
-6.802565,151,123.723177
-21.910614,151,123.954261
-105.028023,27,123.992448
-29.321683,151,124.189115
-37.192287,151,124.384703
-110.80696,57,124.462174
-43.957662,151,124.666255
-105.379983,23,124.694326
-44.478476,151,124.90224
0.690589,151,125.106521
-52.434599,151,125.321036
325.429909,151,125.545388
8.26048,151,125.761669
16.119865,151,125.974294
-20.597091,151,126.174886
-7.023741,151,126.373503
-51.72471,151,126.587928
-88.077995,114,126.754308
-102.717372,15,126.777088
-21.569543,151,126.97933
-108.614629,36,127.025636
15.985155,151,127.243463
-29.415731,151,127.44443
-104.417078,16,127.465671
-108.331786,44,127.524021
-113.74597,57,127.597687
0.681936,151,127.796517
-115.869703,55,127.869318
-103.849038,21,127.899738
-109.32908,104,128.039995
-95.208136,86,128.166744
-111.962257,85,128.292139
-98.901801,142,128.478589
-112.187822,87,128.594583
8.17337,151,128.822026
-101.984673,45,128.881084
-14.325857,151,129.078579
-37.190684,151,129.279503
-110.080497,43,129.34656
0.247963,151,129.572619
-7.365427,151,129.78534
-134.985842,119,129.950465
-110.170433,43,130.004998
-92.937422,68,130.096131
-51.327856,151,130.292849
-22.182367,151,130.500191
325.208124,151,130.728081
-104.110077,13,130.748312
-106.4244,23,130.788057
-108.294327,58,130.873514
-119.714822,83,130.9979
-36.4362,151,131.21271
-99.569979,96,131.335649
-99.620747,63,131.420389
-103.677301,20,131.447957
-104.126346,15,131.469116
-90.780084,88,131.586895
-6.312727,151,131.811708
-52.40658,151,132.009817
-98.998375,91,132.142188
-108.491155,36,132.191939
-7.139345,151,132.398474
-6.960735,151,132.604512
325.412908,151,132.807154
-106.906387,49,132.876128
-44.42414,151,133.084244
-101.446774,11,133.098876
-105.597346,24,133.132226
-22.152565,151,133.335019
-94.414708,103,133.477158
-103.010084,70,133.569553
-109.75806,34,133.61622
-29.436372,151,133.816255
-115.5782,54,133.887436
-103.759143,27,133.921348
-107.747427,81,134.02668
-105.868785,25,134.060169
-111.257379,117,134.220319
0.972971,151,134.422281
-52.200644,151,134.628215
-36.960075,151,134.839886
-102.172428,24,134.876412
-117.600059,61,134.969871
29.293372,61,135.052028
16.107059,151,135.258475
-95.673239,76,135.356729
-117.999971,75,135.461507
8.162578,151,135.662754
-96.682848,59,135.740431
-44.5351,151,135.941113
-6.782925,151,136.144278
-97.204934,27,136.184979
-105.401403,29,136.221095
325.39001,151,136.440372
-97.163134,52,136.511893
-108.0631,34,136.557521
-28.81394,151,136.763804
-45.164065,151,136.996499
-97.004645,55,137.070366
15.772617,151,137.277895
-52.563818,151,137.48124
-102.732151,20,137.508131
16.229969,151,137.727655
-111.965033,129,137.907936
